Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05062023,1122846937,0002319
Trade Date <05-JUN-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1738,ROUTE,EQ,145802,56651,38.85
20,1739,RPGLIFE,EQ,29842,17177,57.56
20,1740,RPOWER,EQ,39998339,12731511,31.83
20,1741,RPPINFRA,EQ,1660379,813061,48.97
20,1742,RPPL,EQ,10250,5059,49.36
20,1743,RPSGVENT,EQ,23653,13602,57.51
20,1744,RSWM,EQ,156893,98849,63.00
20,1745,RSYSTEMS,EQ,1110760,472199,42.51
20,1746,RTNINDIA,EQ,967465,461838,47.74
20,1747,RTNPOWER,EQ,4594529,2803250,61.01
20,1748,RUBYMILLS,EQ,48958,17302,35.34
20,1749,RUCHIRA,EQ,148716,98961,66.54
20,1750,RUPA,EQ,105202,52618,50.02
20,1751,RUSHIL,EQ,151587,73842,48.71
20,1752,RUSTOMJEE,EQ,14900,10457,70.18
20,1753,RVHL,EQ,79229,39000,49.22
20,1754,RVNL,EQ,11124037,4296950,38.63
20,1755,SADBHAV,EQ,220227,159694,72.51
20,1756,SADBHIN,EQ,445920,381208,85.49
20,1757,SADHNANIQ,EQ,96414,52641,54.60
20,1758,SAFARI,EQ,30074,26564,88.33
20,1759,SAGARDEEP,EQ,26836,12397,46.20
20,1760,SAGCEM,EQ,175477,121423,69.20
20,1761,SAH,EQ,124735,74756,59.93
20,1762,SAHYADRI,EQ,3165,1654,52.26
20,1763,SAIL,EQ,11749146,6060663,51.58
20,1764,SAKAR,EQ,22102,12868,58.22
20,1765,SAKHTISUG,EQ,312092,176440,56.53
20,1766,SAKSOFT,EQ,221670,178882,80.70
20,1767,SAKUMA,EQ,924356,572984,61.99
20,1768,SALASAR,EQ,1139316,810389,71.13
20,1769,SALONA,EQ,2597,1557,59.95
20,1770,SALSTEEL,EQ,77401,47696,61.62
20,1771,SALZERELEC,EQ,177282,92371,52.10
20,1772,SAMBHAAV,EQ,15147,10713,70.73
20,1773,SANDESH,EQ,1710,1069,62.51
20,1774,SANDHAR,EQ,520739,294341,56.52
20,1775,SANGAMIND,EQ,17773,12290,69.15
20,1776,SANGHIIND,EQ,252161,183744,72.87
