Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31052023,2177094669,0002281
Trade Date <31-MAY-2023>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2266,ZEELEARN,EQ,727196,589910,81.12
20,2267,ZEEMEDIA,EQ,1968916,1241917,63.08
20,2268,ZENITHEXPO,EQ,255,227,89.02
20,2269,ZENITHSTL,EQ,242146,172534,71.25
20,2270,ZENSARTECH,EQ,1128661,586343,51.95
20,2271,ZENTEC,EQ,974666,361695,37.11
20,2272,ZFCVINDIA,EQ,5144,2829,55.00
20,2273,ZIMLAB,EQ,34658,23835,68.77
20,2274,ZODIAC,EQ,44322,25656,57.89
20,2275,ZODIACLOTH,EQ,18034,11846,65.69
20,2276,ZOMATO,EQ,251813391,167762642,66.62
20,2277,ZOTA,EQ,32039,17879,55.80
20,2278,ZUARI,EQ,289087,126216,43.66
20,2279,ZUARIIND,EQ,25948,12972,49.99
20,2280,ZYDUSLIFE,EQ,1103206,671006,60.82
20,2281,ZYDUSWELL,EQ,39815,25334,63.63
